sleep_hours,woke_up_on_time,coffee,breakfast,exercise,work_stress,workload,weather,social_interaction,screen_time,study_hours,productive_day,bad_event,good_event,music,outside_time,sleep_quality,mood
7,1,1,1,1,High,Moderate,Sunny,1,4.9,5.0,1,0,1,1,1.6,Good,Calm
5,0,3,0,1,High,Heavy,Cloudy,0,7.9,0.9,0,0,0,0,0.3,Fair,Annoyed
6,0,3,0,1,Medium,Heavy,Cloudy,1,8.8,1.8,0,1,0,0,1.1,Fair,Sad
4,0,3,0,0,High,Heavy,Cloudy,0,8.9,0.0,0,1,0,1,0.9,Good,Sad
5,0,2,0,0,High,Moderate,Sunny,0,8.6,1.5,0,0,1,1,0.0,Fair,Sad
7,1,1,1,1,High,Light,Sunny,0,2.7,5.3,1,0,1,1,2.5,Good,Calm
4,0,0,0,0,High,Heavy,Cloudy,0,9.6,1.5,0,0,1,0,0.9,Poor,Annoyed
4,0,1,0,0,High,Heavy,Cloudy,1,9.3,1.3,0,0,0,1,0.6,Fair,Sad
5,0,0,0,1,High,Moderate,Rainy,1,7.7,1.2,0,0,1,0,0.5,Poor,Sad
6,1,3,1,1,High,Heavy,Cloudy,1,6.3,0.5,0,1,0,1,0.9,Good,Sad
9,1,2,1,1,High,Heavy,Sunny,1,3.1,2.3,1,0,1,1,1.3,Excellent,Calm
7,1,2,1,1,Low,Light,Rainy,1,4.7,3.5,1,1,1,1,2.9,Fair,Happy
9,1,1,1,1,Medium,Moderate,Sunny,1,4.3,3.7,1,0,1,1,2.7,Excellent,Happy
7,1,1,1,1,Medium,Light,Sunny,1,2.9,4.9,1,0,1,1,2.4,Excellent,Happy
8,0,2,1,0,Low,Moderate,Sunny,1,3.5,5.7,1,0,1,1,2.0,Excellent,Happy
8,0,2,1,1,Medium,Heavy,Sunny,1,3.7,3.4,1,0,1,1,2.5,Good,Happy
7,1,1,0,0,Medium,Heavy,Snowy,1,8.5,1.3,0,0,1,1,1.0,Good,Sad
7,1,2,1,1,High,Light,Rainy,1,2.6,4.3,1,1,0,1,1.7,Excellent,Calm
8,1,2,1,1,Medium,Light,Cloudy,1,2.4,2.3,1,0,1,1,1.2,Good,Happy
7,1,1,1,1,Low,Light,Windy,0,5.1,4.1,1,1,1,1,1.9,Excellent,Happy
7,1,2,1,1,Low,Moderate,Rainy,1,2.4,3.4,1,0,1,1,1.1,Poor,Calm
7,1,2,1,1,Medium,Light,Sunny,1,5.3,3.9,1,0,0,1,1.6,Excellent,Calm
7,0,1,1,0,Low,Moderate,Sunny,0,5.4,5.5,1,1,1,1,2.0,Excellent,Calm
7,0,0,0,0,High,Heavy,Sunny,1,6.3,0.3,0,1,1,1,1.2,Fair,Sad
7,0,1,0,1,Medium,Light,Sunny,1,5.4,2.1,0,0,0,1,1.2,Poor,Sad
7,1,2,1,1,Medium,Heavy,Rainy,1,4.4,4.7,1,0,1,1,3.2,Excellent,Happy
8,1,1,1,0,Medium,Heavy,Cloudy,0,3.0,4.5,1,1,1,1,2.6,Good,Calm
5,0,0,1,0,High,Heavy,Sunny,1,8.4,0.2,0,0,1,0,0.9,Poor,Sad
5,1,2,1,1,Medium,Heavy,Sunny,0,6.6,1.2,0,1,1,1,0.4,Excellent,Annoyed
9,1,1,1,0,Low,Moderate,Cloudy,1,5.3,2.6,1,0,1,1,2.6,Good,Happy
7,1,2,1,0,Low,Moderate,Sunny,1,3.7,5.9,1,0,1,1,2.9,Excellent,Calm
7,1,2,1,1,Low,Light,Sunny,1,3.5,2.8,1,0,0,1,1.7,Excellent,Happy
7,0,2,1,1,Medium,Moderate,Rainy,1,5.2,4.9,1,0,0,1,2.4,Poor,Happy
4,0,3,1,0,High,Heavy,Sunny,1,6.8,0.8,0,1,0,1,1.2,Poor,Sad
7,1,2,1,1,Medium,Moderate,Windy,1,4.2,5.1,1,0,1,1,2.4,Good,Calm
9,1,2,1,1,Medium,Moderate,Sunny,1,3.2,3.9,1,0,1,1,1.1,Fair,Happy
7,1,1,1,0,Low,Moderate,Sunny,1,4.9,2.7,1,1,1,1,2.6,Excellent,Calm
8,1,2,1,0,Low,Moderate,Cloudy,1,4.3,6.0,1,0,1,1,2.2,Excellent,Happy
8,1,2,1,1,Low,Light,Sunny,0,3.4,4.4,1,0,1,0,2.6,Good,Happy
7,1,2,1,1,Low,Moderate,Windy,1,3.2,3.8,1,0,0,1,2.5,Excellent,Happy
7,1,1,1,1,Medium,Heavy,Cloudy,1,2.7,2.4,1,0,0,1,3.3,Poor,Happy
7,0,1,1,0,Low,Heavy,Snowy,0,5.3,4.6,1,1,1,1,2.2,Good,Happy
4,0,1,0,0,High,Light,Rainy,0,9.3,0.4,0,1,1,1,1.0,Fair,Sad
7,0,2,1,1,Medium,Heavy,Rainy,1,4.0,3.4,1,0,1,1,3.2,Excellent,Calm
6,1,3,1,1,High,Moderate,Windy,1,6.6,2.2,0,0,0,1,0.5,Fair,Sad
9,1,1,1,1,Low,Light,Cloudy,0,4.2,5.0,1,0,1,1,3.1,Excellent,Calm
4,0,0,0,0,Medium,Heavy,Rainy,1,7.6,2.1,0,0,1,0,1.4,Fair,Annoyed
4,0,1,0,0,High,Heavy,Windy,1,7.9,0.2,0,1,0,1,1.2,Fair,Annoyed
9,1,1,1,1,Low,Heavy,Sunny,0,4.9,3.5,1,0,0,0,2.6,Good,Happy
9,1,2,1,1,Medium,Moderate,Sunny,1,4.6,5.4,1,0,1,1,1.4,Good,Happy
7,1,2,1,0,Medium,Moderate,Sunny,1,6.3,1.6,0,0,0,0,0.9,Fair,Annoyed
7,1,1,1,1,Medium,Moderate,Windy,1,2.9,4.6,1,0,1,1,1.9,Good,Happy
7,0,2,1,1,Medium,Moderate,Sunny,1,4.3,6.0,1,0,1,1,2.2,Fair,Happy
7,1,1,1,1,Low,Moderate,Rainy,1,4.3,5.2,1,1,1,1,1.4,Excellent,Calm
7,1,2,1,0,Medium,Light,Rainy,1,4.5,2.1,1,0,1,1,1.2,Excellent,Happy
7,0,1,1,0,High,Moderate,Snowy,1,6.0,2.3,0,0,1,1,1.3,Good,Sad
8,0,1,0,0,Low,Heavy,Cloudy,1,4.0,3.9,1,0,1,1,3.2,Excellent,Happy
8,0,1,1,1,Medium,Moderate,Sunny,1,2.4,4.4,1,1,1,1,3.1,Poor,Happy
9,1,1,1,0,Low,Moderate,Rainy,1,3.0,3.7,1,0,0,1,1.7,Fair,Calm
9,1,1,1,1,Medium,Moderate,Sunny,0,5.1,3.8,1,0,1,1,3.1,Excellent,Calm
5,0,0,0,0,High,Moderate,Cloudy,0,5.1,0.6,0,1,1,1,0.7,Poor,Annoyed
9,0,2,1,1,Medium,Moderate,Sunny,1,3.6,5.1,1,1,1,1,1.8,Good,Happy
5,1,3,1,0,High,Heavy,Windy,1,8.1,0.2,0,1,0,1,0.8,Fair,Annoyed
6,1,2,0,0,High,Heavy,Cloudy,0,6.7,1.9,0,1,0,0,0.1,Fair,Sad
5,0,3,1,0,High,Heavy,Cloudy,0,5.6,1.5,0,1,1,1,0.1,Excellent,Sad
7,0,0,1,1,High,Heavy,Sunny,0,9.6,0.6,0,0,0,1,0.9,Excellent,Annoyed
7,0,0,1,0,High,Heavy,Rainy,1,6.3,1.9,0,0,1,1,1.2,Fair,Annoyed
9,1,2,0,0,Low,Moderate,Rainy,1,3.8,5.4,1,0,1,1,2.3,Good,Happy
9,1,1,1,0,Low,Light,Sunny,1,5.5,2.4,1,0,1,1,2.4,Excellent,Calm
4,0,0,1,0,High,Light,Rainy,0,9.8,0.9,0,0,0,1,1.3,Excellent,Annoyed
8,1,1,1,1,Low,Light,Sunny,0,2.6,3.6,1,0,1,1,2.8,Fair,Happy
8,1,2,1,0,Medium,Moderate,Sunny,0,3.2,5.1,1,0,1,1,2.1,Fair,Happy
8,1,1,1,1,High,Heavy,Cloudy,1,4.2,5.1,1,0,1,1,2.0,Good,Happy
4,1,2,0,0,High,Moderate,Cloudy,0,9.7,0.6,0,0,1,1,0.3,Good,Annoyed
8,1,2,1,1,Low,Moderate,Rainy,0,4.1,2.5,1,0,1,1,1.2,Fair,Happy
6,0,1,0,0,High,Moderate,Rainy,0,7.4,0.1,0,0,1,0,0.8,Fair,Annoyed
8,1,1,1,1,High,Light,Sunny,1,4.6,5.9,1,0,1,1,2.4,Good,Calm
7,1,1,1,0,Low,Heavy,Cloudy,1,2.4,5.4,1,0,0,1,2.4,Fair,Happy
7,0,2,1,1,Low,Moderate,Cloudy,1,2.2,4.1,1,0,1,0,3.0,Good,Happy
6,1,3,1,0,High,Heavy,Windy,0,7.3,2.5,0,1,0,0,0.7,Excellent,Annoyed
8,1,1,1,1,Medium,Heavy,Sunny,1,3.0,5.2,1,0,1,1,2.0,Excellent,Happy
7,0,1,0,1,High,Moderate,Snowy,0,6.0,0.5,0,1,1,0,0.7,Fair,Annoyed
9,1,2,1,1,Low,Moderate,Sunny,1,5.4,4.6,1,0,1,0,1.1,Excellent,Happy
9,1,1,1,1,Low,Moderate,Snowy,1,4.3,3.3,1,0,1,1,2.3,Good,Happy
4,0,3,1,1,Medium,Heavy,Cloudy,1,8.7,2.0,0,1,0,0,1.1,Poor,Annoyed
6,0,0,1,1,Low,Light,Cloudy,1,6.1,0.9,0,0,1,1,1.1,Excellent,Annoyed
7,1,1,1,1,Medium,Light,Sunny,1,5.0,4.2,1,0,1,1,2.1,Poor,Calm
9,0,1,1,1,Medium,Heavy,Sunny,1,4.5,3.2,1,0,1,1,1.3,Excellent,Happy
5,0,0,0,0,High,Moderate,Sunny,1,5.2,2.3,0,1,1,1,1.3,Poor,Annoyed
4,0,3,1,1,High,Heavy,Sunny,1,8.0,0.3,0,0,1,1,1.2,Good,Sad
9,0,2,1,1,Medium,Heavy,Sunny,1,4.2,4.4,1,0,1,1,1.3,Good,Happy
8,1,1,1,1,Medium,Light,Sunny,1,3.7,2.2,1,0,1,1,1.8,Good,Happy
7,1,1,1,0,Low,Moderate,Sunny,0,3.2,5.2,1,0,1,1,3.3,Good,Happy
7,1,1,1,0,Medium,Light,Sunny,1,2.6,3.6,1,0,1,1,1.6,Good,Happy
8,1,1,1,0,Low,Light,Cloudy,1,2.4,3.5,1,0,1,1,2.0,Excellent,Happy
6,1,1,1,0,Medium,Heavy,Sunny,1,9.6,1.5,0,1,1,0,1.4,Poor,Annoyed
4,1,3,0,0,High,Light,Sunny,1,6.7,1.8,0,1,1,1,0.6,Fair,Annoyed
5,0,3,1,1,High,Heavy,Cloudy,0,7.9,0.9,0,1,1,1,0.6,Poor,Annoyed
7,1,2,0,0,High,Heavy,Cloudy,0,7.0,0.8,0,1,1,1,0.3,Excellent,Annoyed
7,1,2,0,1,High,Moderate,Sunny,0,3.4,2.6,1,0,1,1,1.7,Excellent,Happy
7,1,2,1,1,High,Moderate,Snowy,1,3.3,3.4,1,0,0,1,2.4,Excellent,Calm
8,1,1,1,0,Low,Moderate,Snowy,1,3.2,4.3,1,0,1,1,2.2,Good,Calm
8,1,2,1,1,Low,Heavy,Rainy,1,2.5,4.4,1,0,1,1,1.1,Excellent,Happy
7,0,1,0,1,High,Heavy,Sunny,1,7.5,0.8,0,0,0,1,0.7,Fair,Sad
7,1,2,1,1,Medium,Moderate,Rainy,1,5.5,2.2,1,0,1,1,1.6,Good,Happy
6,1,2,1,1,High,Light,Windy,1,8.2,1.6,0,1,0,1,0.8,Good,Sad
5,1,2,0,0,Medium,Heavy,Sunny,0,9.7,2.1,0,1,1,1,0.2,Poor,Sad
7,0,1,0,0,High,Heavy,Rainy,0,5.5,2.2,0,1,0,1,0.4,Fair,Annoyed
9,1,2,1,1,High,Moderate,Windy,1,3.7,2.9,1,0,1,1,1.9,Good,Happy
9,1,2,1,1,Low,Moderate,Sunny,1,4.9,5.2,1,0,1,1,2.9,Good,Happy
5,1,2,0,1,Medium,Light,Cloudy,0,6.4,1.8,0,0,1,0,0.4,Good,Annoyed
4,0,0,1,0,High,Heavy,Cloudy,1,6.9,2.4,0,0,1,1,0.6,Fair,Sad
6,0,2,1,1,High,Heavy,Rainy,0,5.5,2.0,0,1,0,1,1.4,Fair,Annoyed
8,1,1,1,0,Medium,Moderate,Rainy,1,2.7,4.6,1,0,1,1,2.7,Good,Happy
6,0,2,0,0,Medium,Heavy,Sunny,1,6.4,0.9,0,0,0,1,0.4,Good,Annoyed
8,0,2,1,0,Medium,Moderate,Windy,1,4.5,5.5,1,0,1,1,2.1,Good,Happy
7,0,0,0,0,Medium,Moderate,Cloudy,0,6.7,1.8,0,0,1,1,0.9,Fair,Annoyed
9,0,1,1,1,Low,Moderate,Sunny,1,4.5,5.7,1,0,1,0,2.7,Good,Calm
7,1,1,1,0,High,Moderate,Rainy,1,9.5,2.1,0,0,0,1,0.8,Excellent,Annoyed
7,1,2,1,1,Medium,Light,Cloudy,1,5.3,4.0,1,0,0,1,1.8,Excellent,Happy
8,0,2,1,1,Medium,Light,Sunny,1,5.0,3.9,1,1,1,1,3.5,Good,Happy
7,1,1,1,1,High,Moderate,Sunny,1,5.2,2.7,1,0,0,0,3.1,Excellent,Happy
9,1,2,1,1,Medium,Moderate,Sunny,1,3.6,5.1,1,1,1,1,2.5,Excellent,Calm
8,1,1,1,1,Medium,Moderate,Sunny,1,2.1,3.9,1,0,0,1,2.0,Excellent,Calm
4,0,2,0,1,High,Heavy,Cloudy,0,8.9,0.6,0,1,0,1,0.4,Poor,Sad
5,1,0,0,0,Medium,Heavy,Sunny,1,7.9,1.1,0,1,0,1,0.4,Poor,Sad
7,1,2,1,1,Medium,Moderate,Sunny,1,4.1,2.1,1,0,1,1,3.2,Good,Happy
9,1,2,1,1,Medium,Moderate,Sunny,0,3.0,5.7,1,0,1,1,2.5,Fair,Happy
9,1,1,1,0,Low,Moderate,Snowy,1,4.3,5.0,1,0,1,1,1.8,Excellent,Calm
5,0,2,1,1,High,Moderate,Cloudy,1,5.4,1.4,0,1,0,1,0.9,Excellent,Annoyed
7,1,2,1,1,Medium,Heavy,Cloudy,0,9.7,2.1,0,1,1,1,1.4,Fair,Sad
7,0,1,1,1,Low,Heavy,Windy,1,4.5,4.2,1,1,1,1,1.4,Excellent,Calm
9,1,1,0,1,High,Moderate,Sunny,1,4.9,4.2,1,1,0,1,2.8,Excellent,Happy
9,1,2,1,1,Low,Moderate,Sunny,1,4.4,5.2,1,0,1,1,3.1,Excellent,Happy
7,1,2,1,0,Low,Heavy,Sunny,1,4.1,3.0,1,0,0,1,2.7,Fair,Happy
7,1,2,1,0,Medium,Moderate,Cloudy,1,3.1,5.8,1,1,0,1,3.4,Fair,Happy
7,1,2,1,0,Medium,Light,Cloudy,1,4.6,4.5,1,0,1,1,2.5,Fair,Calm
4,0,3,0,0,High,Heavy,Rainy,0,7.8,1.1,0,1,0,1,0.4,Poor,Annoyed
4,0,2,0,1,Low,Heavy,Rainy,0,5.3,1.6,0,0,1,1,1.4,Poor,Sad
8,1,1,1,1,Low,Heavy,Sunny,1,5.0,5.3,1,0,1,1,1.6,Good,Calm
7,0,1,1,0,High,Light,Sunny,0,2.3,5.6,1,0,1,1,2.5,Good,Happy
5,1,2,0,0,High,Moderate,Cloudy,0,9.9,0.7,0,1,0,0,1.2,Poor,Sad
7,1,2,1,1,Medium,Moderate,Rainy,1,3.9,2.6,1,0,1,1,3.0,Good,Happy
9,0,2,0,0,Low,Moderate,Sunny,1,5.2,2.4,1,0,1,1,2.9,Excellent,Calm
7,0,2,1,1,Medium,Moderate,Sunny,1,4.8,3.2,1,1,1,1,1.9,Good,Calm
7,1,2,1,1,Low,Heavy,Cloudy,1,5.0,5.0,1,0,1,1,2.7,Fair,Calm
6,0,2,0,1,High,Heavy,Sunny,0,5.1,0.4,0,1,0,1,0.2,Poor,Annoyed
8,1,1,1,0,Low,Heavy,Cloudy,1,3.5,3.7,1,0,1,1,1.4,Good,Happy
8,0,1,1,1,Low,Moderate,Sunny,1,2.7,3.6,1,1,1,1,2.0,Poor,Calm
4,0,0,1,0,Medium,Light,Rainy,1,9.2,2.1,0,1,0,1,1.2,Fair,Annoyed
7,1,1,0,1,Medium,Heavy,Sunny,0,5.1,3.6,1,0,1,0,2.6,Fair,Happy
9,1,1,1,1,Low,Moderate,Sunny,0,3.3,3.9,1,0,1,1,1.0,Good,Calm
9,1,1,1,0,Medium,Moderate,Cloudy,1,3.2,4.7,1,0,0,1,2.8,Good,Calm
5,1,0,0,0,Medium,Heavy,Windy,1,8.8,0.8,0,0,1,1,0.9,Poor,Sad
8,1,2,1,1,Medium,Light,Sunny,1,5.4,3.7,1,0,1,1,2.9,Good,Happy
7,1,1,1,1,Low,Moderate,Rainy,1,5.4,5.1,1,0,1,1,1.5,Good,Happy
9,1,2,0,1,Low,Heavy,Windy,1,5.2,6.0,1,0,1,1,2.4,Fair,Happy
9,1,1,1,1,High,Moderate,Sunny,1,2.5,2.1,1,0,1,1,1.8,Good,Happy
5,1,0,1,0,High,Heavy,Cloudy,1,9.3,1.5,0,1,1,1,0.7,Good,Annoyed
6,1,2,1,0,High,Moderate,Snowy,1,8.2,2.0,0,1,0,0,0.7,Fair,Sad
9,1,2,1,1,Medium,Moderate,Sunny,0,4.2,4.4,1,0,1,1,2.7,Excellent,Happy
7,0,2,1,1,High,Heavy,Cloudy,0,7.0,0.4,0,1,0,1,0.9,Fair,Annoyed
7,0,1,0,0,High,Heavy,Rainy,0,9.3,2.2,0,0,1,0,1.2,Excellent,Annoyed
9,1,1,1,1,Low,Moderate,Sunny,1,4.9,5.4,1,1,0,1,1.2,Good,Happy
8,1,2,1,0,High,Moderate,Snowy,1,3.0,5.2,1,0,1,1,1.3,Good,Happy
7,1,2,1,1,Medium,Light,Sunny,1,3.1,4.3,1,0,0,1,2.3,Fair,Calm
5,1,0,0,0,High,Light,Cloudy,0,8.6,1.4,0,1,1,1,0.5,Fair,Sad
7,1,2,1,1,Medium,Moderate,Sunny,1,3.3,5.4,1,0,1,1,2.9,Fair,Happy
7,1,1,1,1,Medium,Moderate,Cloudy,1,4.3,2.6,1,0,0,1,1.5,Fair,Calm
4,0,2,1,0,Medium,Heavy,Cloudy,0,7.8,2.1,0,1,0,1,0.3,Poor,Sad
5,1,0,1,1,High,Heavy,Sunny,0,6.8,0.2,0,0,1,0,0.4,Poor,Annoyed
9,0,2,1,0,Low,Moderate,Cloudy,1,4.7,3.6,1,0,0,0,1.5,Good,Happy
7,1,2,1,0,Low,Moderate,Sunny,1,2.6,2.1,1,0,1,0,2.8,Fair,Calm
5,1,2,1,0,High,Moderate,Rainy,0,8.4,1.4,0,1,0,0,0.0,Good,Annoyed
9,1,2,0,1,Medium,Heavy,Sunny,1,4.4,3.3,1,0,1,1,2.8,Good,Happy
8,1,1,1,1,Medium,Moderate,Sunny,1,5.0,2.4,1,1,1,1,3.3,Good,Happy
6,0,3,0,0,Medium,Heavy,Sunny,0,5.3,2.3,0,1,0,0,0.4,Poor,Sad
9,1,1,1,1,Medium,Moderate,Rainy,1,3.0,2.4,1,0,1,1,2.5,Excellent,Calm
4,0,1,1,1,Medium,Heavy,Rainy,1,7.0,0.9,0,0,0,0,0.9,Poor,Sad
9,1,2,1,0,Medium,Heavy,Sunny,1,3.6,2.5,1,1,1,0,2.5,Excellent,Happy
9,1,1,1,1,Low,Moderate,Rainy,0,4.7,3.0,1,0,0,0,2.3,Good,Calm
7,1,2,1,1,Low,Heavy,Rainy,0,2.2,4.2,1,0,1,1,3.3,Good,Happy
6,1,2,1,0,Medium,Light,Rainy,0,7.1,1.5,0,1,0,0,1.0,Fair,Annoyed
8,0,2,1,1,Medium,Light,Cloudy,1,2.8,4.7,1,1,0,1,2.1,Excellent,Calm
7,1,2,1,0,Low,Light,Sunny,1,2.1,3.7,1,0,1,1,1.6,Good,Calm
7,1,1,1,1,Medium,Moderate,Sunny,1,3.9,4.7,1,0,1,1,1.4,Excellent,Happy
8,0,1,1,0,Medium,Moderate,Cloudy,1,4.0,3.3,1,0,1,0,3.4,Excellent,Happy
7,1,2,1,1,Low,Moderate,Sunny,1,2.1,4.4,1,0,1,1,3.3,Fair,Calm
6,0,2,0,0,Medium,Moderate,Rainy,1,5.4,1.0,0,0,0,1,0.9,Poor,Annoyed
4,1,2,0,0,High,Heavy,Cloudy,0,5.2,1.4,0,0,0,1,0.0,Good,Annoyed
7,0,3,1,0,Medium,Heavy,Sunny,1,6.9,1.4,0,0,0,1,1.2,Poor,Annoyed
7,0,2,1,1,Medium,Light,Sunny,1,2.2,4.0,1,0,1,1,2.3,Fair,Happy
9,1,1,1,0,Low,Moderate,Cloudy,0,2.1,3.6,1,0,0,1,1.6,Excellent,Calm
6,0,1,0,0,High,Heavy,Rainy,0,5.8,1.8,0,0,1,0,0.1,Excellent,Annoyed
9,1,1,1,1,Medium,Moderate,Sunny,1,3.4,3.7,1,0,1,1,1.5,Excellent,Calm
9,0,1,0,1,Low,Heavy,Snowy,1,2.7,5.1,1,0,1,1,1.3,Excellent,Calm
9,1,1,1,1,Low,Light,Sunny,0,2.1,3.9,1,1,1,1,2.6,Good,Calm
4,1,2,0,1,Medium,Heavy,Cloudy,0,5.1,1.6,0,1,1,1,1.2,Fair,Sad
8,1,2,1,1,Medium,Light,Sunny,1,3.9,5.4,1,0,1,1,1.4,Excellent,Calm
9,1,2,1,1,Medium,Moderate,Cloudy,1,4.6,2.3,1,1,1,1,2.1,Poor,Calm
9,1,1,1,1,High,Moderate,Sunny,1,5.1,4.6,1,0,1,1,1.0,Good,Happy
5,0,3,1,1,High,Heavy,Rainy,0,8.3,2.5,0,0,0,1,0.2,Poor,Sad
9,1,2,0,1,Low,Moderate,Sunny,1,3.7,5.4,1,0,1,1,2.8,Good,Happy
7,1,1,1,1,Medium,Light,Sunny,1,3.6,4.5,1,0,0,1,3.4,Fair,Happy
7,0,1,1,1,Low,Light,Sunny,1,5.3,4.1,1,0,1,1,2.6,Fair,Calm
8,1,1,1,1,Low,Moderate,Cloudy,1,5.2,2.1,1,0,0,1,2.8,Good,Calm
7,1,2,1,1,Low,Light,Cloudy,1,3.3,2.2,1,0,1,1,2.6,Excellent,Happy
7,1,2,1,1,Low,Moderate,Sunny,1,2.2,5.3,1,1,1,1,1.4,Good,Calm
8,1,1,1,1,Low,Moderate,Sunny,0,3.9,4.4,1,1,1,1,3.0,Good,Happy
8,0,2,1,0,Low,Moderate,Cloudy,0,5.3,5.0,1,0,1,0,2.2,Good,Calm
7,1,1,1,1,High,Light,Rainy,0,3.4,4.1,1,0,1,1,2.2,Excellent,Calm
4,1,3,1,0,Medium,Moderate,Rainy,0,5.3,1.5,0,1,0,0,0.7,Poor,Sad
8,1,2,1,1,Medium,Moderate,Rainy,1,3.4,5.8,1,0,1,1,2.6,Good,Happy
6,1,0,1,0,High,Light,Cloudy,0,5.9,0.5,0,0,0,1,0.8,Fair,Annoyed
9,1,1,0,1,Medium,Heavy,Sunny,1,2.4,5.7,1,0,1,1,2.3,Good,Happy
7,0,2,1,1,Medium,Moderate,Sunny,0,4.4,4.9,1,0,1,0,1.7,Good,Happy
7,0,2,0,0,High,Light,Snowy,0,9.8,1.4,0,1,0,1,0.3,Poor,Sad
5,0,1,0,1,Medium,Heavy,Rainy,1,6.6,1.7,0,1,1,1,0.9,Good,Sad
